source_file,source_row,raw_route,raw_moq,channel_type,channel_name,product_name_raw,product_name_std,package_type,unit_quantity,unit,sales_unit,quantity_2025,wholesale_price,product_cogs,gross_profit_per_unit,gross_margin,operating_expense_per_unit,invoice_tax_per_unit,expense_subtotal_per_unit,reported_net_profit_per_unit,calculated_net_profit_per_unit,net_profit_per_unit,reported_contribution_profit,calculated_contribution_profit,contribution_profit,reported_revenue,calculated_revenue,revenue,revenue_source,profit_source,analysis_sku,quality_flags
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,40,,,未分類,,百香果黑糖,百香果黑糖,,,,,40.0,117.0,48.0,69.0,58.97,60.603972,5.85,66.5,3.0,2.5460280000000015,2.5460280000000015,102.0,101.84112000000006,102.0,4680.0,4680.0,4680.0,reported,reported,百香果黑糖_None_None_117.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,41,,,未分類,,梅精黑糖,梅精黑糖,,,,,109.0,143.0,47.0,96.0,67.13,74.07152133,7.15,81.2,15.0,14.778478670000004,14.778478670000004,1611.0,1610.8541750300003,1611.0,15587.0,15587.0,15587.0,reported,reported,梅精黑糖_None_None_143.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,42,蜜類-1890ml,,未分類,,黑糖蜜,黑糖蜜,蜜類瓶裝,1890.0,ml,瓶,50.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,reported,reported,黑糖蜜_None_蜜類瓶裝_None,missing_price;missing_cost
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,43,蜜類-1890ml,,未分類,,梅精黑糖,梅精黑糖,蜜類瓶裝,1890.0,ml,瓶,45.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,reported,reported,梅精黑糖_None_蜜類瓶裝_None,missing_price;missing_cost
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,44,通路上架,,未分類,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,reported,missing,_None_None_None,missing_price;missing_cost;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,45,日月町罐裝(160g）,,通路上架,日月町,原味黑糖 ,原味黑糖,禮盒,160.0,g,,,0.0,43.0,-43.0,0.0,0.0,0.0,0.0,-43.0,-43.0,-43.0,,,,0.0,,0.0,reported,missing,原味黑糖 _日月町_禮盒_0.0,negative_profit
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,46,,,未分類,,薑汁黑糖,薑汁黑糖,,,,,,126.0,43.0,83.0,65.87,65.265816,6.3,71.6,11.0,11.434183999999998,11.434183999999998,,,,0.0,,0.0,reported,missing,薑汁黑糖_None_None_126.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,47,,,未分類,,桂圓黑糖,桂圓黑糖,,,,,,126.0,43.0,83.0,65.87,65.265816,6.3,71.6,11.0,11.434183999999998,11.434183999999998,,,,0.0,,0.0,reported,missing,桂圓黑糖_None_None_126.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,48,,,未分類,,玫瑰四物黑糖,玫瑰四物黑糖,,,,,,126.0,43.0,83.0,65.87,65.265816,6.3,71.6,11.0,11.434183999999998,11.434183999999998,,,,0.0,,0.0,reported,missing,玫瑰四物黑糖_None_None_126.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,49,,,未分類,,桂圓紅棗薑,桂圓紅棗薑,,,,,,126.0,43.0,83.0,65.87,65.265816,6.3,71.6,11.0,11.434183999999998,11.434183999999998,,,,0.0,,0.0,reported,missing,桂圓紅棗薑_None_None_126.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,50,,,未分類,,冬瓜,冬瓜,,,,,,126.0,43.0,83.0,65.87,65.265816,6.3,71.6,11.0,11.434183999999998,11.434183999999998,,,,0.0,,0.0,reported,missing,冬瓜_None_None_126.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,51,日月町禮盒組,,通路上架,日月町,2入任搭組合,2入任搭組合,禮盒,,,,,301.0,172.0,129.0,42.86,155.9127827,15.05,171.0,-42.0,-41.962782700000005,-41.962782700000005,,,,0.0,,0.0,reported,missing,2入任搭組合_日月町_禮盒_301.0,missing_spec;negative_profit
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,52,OEM：客戶提供產品規格、設計圖、配方，我們依照客戶需求生產。,,未分類,,,,,,,,,,,,,,,,,,,,,,,,,missing,missing,_None_None_None,missing_price;missing_cost;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,53,科技中藥廠,40台斤(一箱),OEM,科技中藥廠,黑糖薑母茶,黑糖薑母茶,薑母茶,,,,2360.0,112.0,46.0,66.0,58.93,58.01405867,5.6,63.6,2.0,2.385941330000003,2.385941330000003,,5630.821538800007,5630.821538800007,,264320.0,264320.0,calculated,calculated,黑糖薑母茶_科技中藥廠_薑母茶_112.0,calculated_revenue;calculated_profit;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,110,,競品,未分類,,,,,,,,,,,,,,,,,,,,,,,,,missing,missing,_None_None_None,missing_price;missing_cost;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,111,,就是愛海鮮,未分類,,"海陸奢華霸王組8~10人
贈玫瑰鹽一罐(市價89元)","海陸奢華霸王組8~10人
贈玫瑰鹽一罐(市價89元)",,,,,6680.0,5680.0,,,,,,,,,,,,,,37942400.0,37942400.0,calculated,missing,"海陸奢華霸王組8~10人
贈玫瑰鹽一罐(市價89元)_None_None_5680.0",calculated_revenue;missing_cost;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,112,,真美味,未分類,,五星級海陸烤肉組(5-8人份),五星級海陸烤肉組(5-8人份),,,,,1688.0,1570.0,,,,,,,,,,,,,,2650160.0,2650160.0,calculated,missing,五星級海陸烤肉組(5-8人份)_None_None_1570.0,calculated_revenue;missing_cost;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,113,,達米肉舖,未分類,,超值燒肉烤肉組,超值燒肉烤肉組,,,,,2000.0,2000.0,,,,,,,,,,,,,,4000000.0,4000000.0,calculated,missing,超值燒肉烤肉組_None_None_2000.0,calculated_revenue;missing_cost;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,114,,愛上吃肉,未分類,,中秋烤肉海陸豪華14件組(約5-7人/份),中秋烤肉海陸豪華14件組(約5-7人/份),,,,,2390.0,1580.0,,,,,,,,,,,,,,3776200.0,3776200.0,calculated,missing,中秋烤肉海陸豪華14件組(約5-7人/份)_None_None_1580.0,calculated_revenue;missing_cost;missing_spec
